iter	Accuracy	CrossEntropy
0	0.8378010793	0.6856047662
1	0.8429781073	0.6776345332
2	0.8464440837	0.6699211147
3	0.8447769052	0.6622359527
4	0.8462685912	0.6542578899
5	0.8463563375	0.6460295031
6	0.8460053525	0.6385582527
7	0.8474970386	0.6316096663
8	0.8451278901	0.6246906537
9	0.8473654192	0.6183039271110	0.848023516	0.6113703606
11	0.8519720967	0.6053032718
12	0.8516649849	0.5983168009
13	0.8514017462	0.5925555538114	0.8513139999	0.5870890231115	0.8512701268	0.5812830891116	0.8511823806	0.5755558262117	0.8515333655	0.5701223455118	0.8516649849	0.5647509733119	0.8513139999	0.5590225839220	0.8514456193	0.553495449
21	0.8514456193	0.5486246696
22	0.8514017462	0.5433847338
