iter	Passed	Remaining
0	345	68741
1	361	35777
2	375	24660
3	389	19061
4	402	15697
5	415	13422
6	428	11805
7	441	10597
8	453	9628
9	466	8856
10	478	8213
11	490	7678
12	502	7221
13	514	6835
14	526	6493
15	538	6194
16	550	5930
17	563	5701
18	576	5488
19	588	5295
20	600	5117
21	612	4955
22	624	4804
23	636	4664
24	648	4539
25	661	4425
26	673	4317
27	685	4213
28	698	4118
29	712	4035
30	726	3960
31	798	4194
32	811	4108
33	824	4027
34	836	3944
35	848	3866
36	860	3792
37	872	3720
38	884	3653
39	896	3587
40	909	3526
41	921	3465
42	932	3406
43	944	3349
44	956	3294
45	968	3241
46	980	3191
47	992	3142
48	1004	3094
49	1016	3049
50	1029	3006
51	1041	2965
52	1053	2923
53	1066	2883
54	1078	2843
55	1091	2805
56	1103	2768
57	1116	2732
58	1129	2698
59	1141	2662
60	1152	2626
61	1164	2592
62	1176	2558
63	1188	2525
64	1200	2493
65	1213	2463
66	1226	2433
67	1238	2404
68	1251	2375
69	1263	2346
70	1275	2317
71	1287	2288
72	1299	2261
73	1311	2233
74	1324	2206
75	1336	2180
76	1348	2153
77	1360	2128
78	1373	2104
79	1386	2079
80	1398	2055
81	1410	2030
82	1422	2005
83	1435	1982
84	1447	1958
85	1460	1935
86	2363	3069
87	2380	3030
88	2394	2986
89	2407	2942
90	2421	2900
91	2434	2858
92	2447	2816
93	2461	2775
94	2474	2734
95	2487	2694
96	2498	2653
97	2511	2613
98	2523	2574
99	2536	2536
100	2549	2498
101	2562	2462
102	2576	2426
103	2588	2389
104	2601	2353
105	2614	2318
106	2627	2284
107	2640	2249
108	2652	2214
109	2664	2180
110	2676	2146
111	2688	2112
112	2700	2079
113	2712	2046
114	2724	2013
115	2736	1981
116	2748	1949
117	2759	1917
118	2773	1887
119	2787	1858
120	2806	1832
121	2819	1802
122	2831	1772
123	2844	1743
124	2856	1713
125	2868	1684
126	2881	1656
127	2893	1627
128	2905	1599
129	2917	1570
130	2929	1543
131	2942	1515
132	2954	1488
133	2967	1461
134	2979	1434
135	2991	1407
136	3003	1381
137	3015	1354
138	3028	1328
139	3040	1303
140	3052	1277
141	3064	1251
142	3077	1226
143	3090	1201
144	3103	1177
145	3115	1152
146	3128	1127
147	3141	1103
148	3155	1080
149	3168	1056
150	3181	1032
151	3194	1008
152	3208	985
153	3224	963
154	3237	940
155	3251	917
156	3265	894
157	3282	872
158	3299	850
159	3312	828
160	3326	805
161	3339	783
162	3354	761
163	3368	739
164	3382	717
165	3396	695
166	3408	673
167	3423	652
168	3436	630
169	3450	608
170	3464	587
171	3477	566
172	3493	545
173	3508	524
174	3523	503
175	3539	482
176	3553	461
177	3570	441
178	3585	420
179	3598	399
180	3612	379
181	3624	358
182	3638	338
183	3650	317
184	3662	296
185	3675	276
186	3687	256
187	3699	236
188	3711	216
189	3723	195
190	3736	176
191	3748	156
192	3760	136
193	3772	116
194	3785	97
195	3797	77
196	3809	58
197	3821	38
198	3833	19
199	3845	0
