iter	RMSE
0	9.261382419
1	9.226233945
2	9.187174677
3	9.134793262
4	9.09302895
5	9.054634663
6	9.005203674
7	8.958364289
8	8.910395421
9	8.864296688
10	8.821713998
11	8.77210434
12	8.739731812
13	8.693690503
14	8.647544914
15	8.603936413
16	8.554804278
17	8.518341929
18	8.470963706
19	8.423103055
20	8.385472139
21	8.350516435
22	8.306507329
23	8.272227224
24	8.238840104
25	8.206739695
26	8.17008176
27	8.128100168
28	8.086002755
29	8.039915899
30	8.005616908
31	7.979033798
32	7.940962111
33	7.908899863
34	7.872198484
35	7.84238633
36	7.815399758
37	7.772780013
38	7.744083683
39	7.70445119
40	7.666952472
41	7.627249074
42	7.59094865
43	7.5506277
44	7.510305826
45	7.478467062
46	7.447733054
47	7.411466098
48	7.382416513
49	7.346885529
50	7.321833747
51	7.293053326
52	7.267390564
53	7.233406773
54	7.204606313
55	7.176532621
56	7.147078086
57	7.117119443
58	7.081419689
59	7.050334473
60	7.027092951
61	6.999307823
62	6.975958201
63	6.945524146
64	6.91890543
65	6.895934369
66	6.86836734
67	6.835832083
68	6.815512225
69	6.790333884
70	6.761401803
71	6.731453678
72	6.708550147
73	6.679938861
74	6.651667181
75	6.629044071
76	6.599034538
77	6.573969239
78	6.548014223
79	6.518754989
80	6.494933661
81	6.469966255
82	6.452609052
83	6.425372688
84	6.40092394
85	6.376065961
86	6.353388909
87	6.333276939
88	6.309491572
89	6.287281131
90	6.27108596
91	6.248241666
92	6.216793406
93	6.197879543
94	6.179423318
95	6.160163736
96	6.136941798
97	6.115603576
98	6.094397238
99	6.071168602
100	6.049206562
101	6.03474654
102	6.013130305
103	5.997439874
104	5.979029529
105	5.963463537
106	5.942901134
107	5.924165005
108	5.904148833
109	5.885136424
110	5.863171891
111	5.84386436
112	5.825653377
113	5.811741941
114	5.792065853
115	5.775346652
116	5.756733226
117	5.743401586
118	5.72570421
119	5.706207635
120	5.691021828
121	5.671293426
122	5.657413234
123	5.639127758
124	5.621204623
125	5.609572543
126	5.593709582
127	5.579006354
128	5.553203898
129	5.538721761
130	5.524579083
131	5.510535387
132	5.492094424
133	5.470409953
134	5.453930936
135	5.439000292
136	5.423199923
137	5.408285513
138	5.396880798
139	5.37508993
140	5.35532826
141	5.343479315
142	5.327562296
143	5.314803591
144	5.300264714
145	5.281150594
146	5.27025487
147	5.257257714
148	5.240963042
149	5.218895476
150	5.196949158
151	5.181887568
152	5.168871832
153	5.155317131
154	5.137283091
155	5.122469835
156	5.110660381
157	5.092516002
158	5.080732929
159	5.067453292
160	5.055049906
161	5.042612161
162	5.024383086
163	5.015556957
164	5.001480232
165	4.982391786
166	4.968088085
167	4.954996265
168	4.94246976
169	4.92429148
170	4.908658147
171	4.898978012
172	4.887564513
173	4.874285895
174	4.857372675
175	4.847757211
176	4.838509283
177	4.825124937
178	4.814304444
179	4.80175543
180	4.790924114
181	4.777991246
182	4.765679431
183	4.754851472
184	4.742936061
185	4.731549878
186	4.720788677
187	4.706267443
188	4.695576631
189	4.685355349
190	4.672007609
191	4.663759687
192	4.645533259
193	4.631852761
194	4.62033583
195	4.60991256
196	4.593544228
197	4.582104952
198	4.564067053
199	4.551878445
200	4.541647647
201	4.527332595
202	4.515114552
203	4.504482337
204	4.489575326
205	4.481330948
206	4.47252236
207	4.465412747
208	4.452931881
209	4.444068134
210	4.433178141
211	4.422153801
212	4.413693852
213	4.401280333
214	4.392852938
215	4.382322997
216	4.370549762
217	4.359725896
218	4.352500235
219	4.345974677
220	4.336519312
221	4.32822528
222	4.314235382
223	4.2998882
224	4.290847127
225	4.282911546
226	4.27748378
227	4.263475991
228	4.253423536
229	4.242696814
230	4.23053219
231	4.224052761
232	4.21579701
233	4.207403418
234	4.199720921
235	4.188933174
236	4.181955913
237	4.16981363
238	4.156640138
239	4.150862744
240	4.143375879
241	4.136651794
242	4.126852842
243	4.11915548
244	4.111730276
245	4.105195186
246	4.099187781
247	4.089829799
248	4.08383817
249	4.076186373
250	4.068594387
251	4.060240491
252	4.052186959
253	4.046480105
254	4.039265603
255	4.028621129
256	4.022150481
257	4.012082009
258	4.002320789
259	3.995674307
260	3.990777985
261	3.980441033
262	3.972653536
263	3.967148443
264	3.959241487
265	3.954027521
266	3.947447268
267	3.94118931
268	3.935550527
269	3.931609402
270	3.925056001
271	3.916719975
272	3.910183932
273	3.901986773
274	3.896154111
275	3.889334021
276	3.878108851
277	3.867390467
278	3.861570139
279	3.85291168
280	3.847696705
281	3.842879611
282	3.835107744
283	3.827722692
284	3.819129098
285	3.811474363
286	3.80157059
287	3.79490972
288	3.789105281
289	3.782335001
290	3.775918496
291	3.771588616
292	3.765849561
293	3.758532086
294	3.753939626
295	3.748709895
296	3.743095845
297	3.73394423
298	3.725220898
299	3.719299286
300	3.714555149
301	3.709655059
302	3.703362414
303	3.69498759
304	3.687324824
305	3.68121151
306	3.677709863
307	3.670845388
308	3.664388013
309	3.660850735
310	3.652359606
311	3.643683448
312	3.63819039
313	3.632361601
314	3.625929866
315	3.6207359
316	3.617519273
317	3.613792067
318	3.608309059
319	3.603247902
320	3.596599313
321	3.591286706
322	3.58614222
323	3.579719236
324	3.575172054
