iter	Passed	Remaining
0	170	169966
1	345	172580
2	512	170206
3	686	171061
4	861	171476
5	1034	171463
6	1205	171074
7	1380	171181
8	1555	171266
9	1710	169323
10	1870	168137
11	2031	167254
12	2193	166507
13	2355	165861
14	2516	165236
15	2637	162219
16	2795	161637
17	2953	161156
18	3111	160668
19	3269	160209
20	3428	159824
21	3587	159468
22	3745	159114
23	3909	158987
24	4030	157194
25	4189	156935
26	4349	156734
27	4510	156577
28	4682	156789
29	4848	156758
30	5010	156629
31	5177	156633
32	5244	153684
33	5329	151422
34	5492	151446
35	5654	151412
36	5819	151470
37	5978	151361
38	6141	151329
39	6303	151279
40	6463	151190
41	6620	151020
42	6778	150867
43	6939	150783
44	7100	150685
45	7261	150588
46	7382	149683
47	7542	149591
48	7702	149488
49	7860	149343
50	7981	148516
51	8139	148394
52	8298	148272
53	8458	148182
54	8617	148065
55	8777	147964
56	8939	147899
57	9103	147856
58	9271	147877
59	9432	147777
60	9595	147700
61	9751	147525
62	9913	147442
63	10078	147396
64	10241	147325
65	10332	146222
66	10494	146135
67	10654	146029
68	10818	145968
69	10980	145883
70	11144	145825
71	11305	145715
72	11465	145601
73	11625	145474
74	11785	145348
75	11945	145238
76	12105	145109
77	12267	145006
78	12429	144906
79	12516	143937
80	12689	143970
81	12811	143423
82	12972	143320
83	13094	142794
84	13220	142316
85	13380	142202
86	13512	141799
87	13681	141789
88	13847	141737
89	14012	141684
90	14150	141350
91	14276	140905
92	14363	140085
93	14525	140004
94	14684	139887
95	14772	139104
96	14893	138652
97	15056	138584
98	15232	138633
99	15392	138536
100	15481	137804
101	15643	137728
102	15816	137738
103	15993	137792
104	16165	137794
105	16291	137401
106	16461	137385
107	16620	137276
108	16780	137167
109	16871	136505
110	17001	136165
111	17093	135525
112	17263	135511
113	17333	134715
114	17494	134627
115	17653	134535
116	17724	133766
117	17895	133758
118	18019	133404
119	18183	133342
120	18348	133293
121	18419	132558
122	18490	131839
123	18558	131103
124	18718	131029
125	18845	130725
126	18972	130416
127	19097	130101
128	19229	129833
129	19386	129742
130	19509	129420
131	19630	129087
132	19756	128786
133	19849	128282
134	20012	128231
135	20174	128166
136	20233	127458
137	20307	126845
138	20394	126329
139	20522	126069
140	20589	125436
141	20676	124930
142	20799	124651
143	20867	124048
144	20924	123384
145	20983	122740
146	21075	122294
147	21167	121856
148	21335	121854
149	21428	121429
150	21559	121220
151	21684	120976
152	21754	120431
153	21843	119997
154	22002	119950
155	22165	119921
156	22296	119719
157	22417	119466
158	22546	119254
159	22601	118660
160	22658	118079
161	22823	118059
162	22957	117884
163	23126	117886
164	23288	117853
165	23446	117799
166	23569	117566
167	23691	117328
168	23784	116952
169	23871	116548
170	23944	116080
171	24104	116039
172	24171	115548
173	24238	115064
174	24410	115079
175	24585	115103
176	24708	114886
177	24833	114678
178	24997	114653
179	25160	114618
180	25257	114288
181	25430	114297
182	25521	113940
183	25591	113494
184	25650	112999
185	25740	112648
186	25820	112256
187	25897	111857
188	26076	111895
189	26154	111501
190	26326	111506
191	26508	111557
192	26577	111127
193	26736	111081
194	26861	110891
195	26936	110495
196	27026	110165
197	27151	109977
198	27246	109669
199	27317	109270
200	27413	108973
201	27544	108814
202	27716	108819
203	27782	108407
204	27876	108106
205	28035	108060
206	28106	107673
207	28265	107627
208	28334	107236
209	28405	106860
210	28495	106552
211	28620	106381
